DOCFEC;DOCSER;DOCNUM;CODALM;CODTER;DTOCAB;BASEBAS;IMPTBAS;RECBAS;FECORD;NUMORD;CODMAQ;MARCAD;FORPAG;PORFIN;RFDPP;PORBAS;OBSERV;FECFAC;NUMFAC;DESHOR;PREHOR;NUMKM;PREKM;TIPVEN;TIPFAC;PRESER;PRENUM;DIETENT;CLABLO;SERFAC;CODOPEGRA;CODOPEAUT;PORREA;KMREA;HORREA;DIETREA
07/10/2007;72;000222;01;00;0;7,6;0;0;;;;;0;0;0;0;;07/10/2007;000219;0;0;0;0;R;A;;;0;F;72;AB;AB;0;0;0;0
12/11/2007;72;000223;01;00;0;33,51;0;0;;;;;0;0;0;0;;12/11/2007;000220;0;0;0;0;R;A;;;0;F;72;AB;AB;0;0;0;0
13/11/2007;72;000224;01;00;0;12,96;0;0;;;;;0;0;0;0;;13/11/2007;000221;0;0;0;0;R;A;;;0;F;72;AB;AB;0;0;0;0
08/11/2007;71;001295;01;270;0;111,54;17,85;0;;;;;11;0;0;0;alb. entrega 2418;15/11/2007;001322;0;0;0;0;R;A;;;0;F;70;AB;AB;0;0;0;0
14/11/2007;72;000225;01;00;0;1,97;0;0;;;;;0;0;0;0;;14/11/2007;000222;0;0;0;0;R;A;;;0;F;72;AB;AB;0;0;0;0
09/11/2007;71;001296;01;837;0;17,23;2,76;0;;;;;11;0;0;0;alb. nº 2422;30/11/2007;001328;0;0;0;10;R;P;;;0;F;70;AB;AB;0;0;0;0
13/11/2007;71;001297;01;48;0;2,01;0,32;0;;;;;13;0;0;0;alb. nº 2435;30/11/2007;001353;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
13/11/2007;71;001298;01;891;0;142,45;22,79;0;;;;;13;0;0;0;alb. nº 2433;30/11/2007;001330;0;24,5;0;0,35;R;A;;;0;F;70;AB;AB;0;0;0;0
13/11/2007;71;001299;01;837;0;85,78;13,72;0;;;;;11;0;0;0;alb. nº 2432;30/11/2007;001328;0;0;0;10;R;P;;;0;F;70;AB;AB;0;0;0;0
13/11/2007;71;001300;01;891;0;209,05;33,45;0;;;8603 FVS;;13;0;0;0;ALBARAN Nº 2439;30/11/2007;001334;0;24,5;0;0,35;R;A;;;0;F;70;AB;AB;0;0;0;0
15/11/2007;71;001301;01;983;0;12,15;1,94;0;;;;;1;0;0;0;;30/11/2007;001367;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
16/11/2007;71;001302;01;824;0;2,55;0,41;0;;;;;0;0;0;0;;30/11/2007;001354;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
16/11/2007;71;001303;01;290;0;5,11;0,82;0;;;;;1;0;0;0;;30/11/2007;001381;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
16/11/2007;72;000226;01;00;0;3;0;0;;;;;0;0;0;0;;16/11/2007;000223;0;0;0;0;R;A;;;0;F;72;AB;AB;0;0;0;0
16/11/2007;72;000227;01;00;0;7,02;0;0;;;;;0;0;0;0;;16/11/2007;000224;0;0;0;0;R;A;;;0;F;72;AB;AB;0;0;0;0
13/11/2007;71;001304;01;267;0;9;1,44;0;;;;;11;0;0;0;ALBARAN Nº 2431;30/11/2007;001326;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
13/11/2007;71;001305;01;300;0;47,17;7,55;0;;;;;1;0;0;0;ALBARAN Nº 2436;30/11/2007;001384;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
16/11/2007;72;000228;01;00;0;35;0;0;;;;;0;0;0;0;;16/11/2007;000225;0;0;0;0;R;A;;;0;F;72;AB;AB;0;0;0;0
13/11/2007;71;001306;01;408;0;20,88;3,34;0;;;;;11;0;0;0;ALBARAN Nº 2440;30/11/2007;001364;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
13/11/2007;71;001307;01;928;0;52,28;8,36;0;;;;;3;0;0;0;ALBARAN Nº 2438;30/11/2007;001366;0;24,5;0;0,35;R;P;;;0;F;70;AB;AB;0;0;0;0
14/11/2007;71;001308;01;377;0;71,85;11,5;0;;;;;0;0;0;0;ALBARAN Nº 2442;30/11/2007;001383;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
15/11/2007;71;001309;01;1101;0;8,78;1,4;0;;;;;0;0;0;0;ALBARAN Nº 2448;30/11/2007;001329;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
12/11/2007;71;001310;01;139;0;22,75;3,64;0;;;;;11;0;0;0;ALBARAN Nº 2429;30/11/2007;001327;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
15/11/2007;71;001311;01;39;0;13,52;2,16;0;;;;;1;0;0;0;ALBARAN Nº 2446;30/11/2007;001375;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
16/11/2007;71;001312;01;139;0;98,75;15,8;0;;;;;11;0;0;0;ALBARAN Nº 2449;30/11/2007;001327;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
13/11/2007;71;001313;01;988;0;163,63;26,18;0;;;;;40;0;0;0;ALBARAN Nº 2437;30/11/2007;001368;0;24,5;0;0,35;R;P;;;0;F;70;AB;AB;0;0;0;0
16/11/2007;71;001314;01;988;0;35,84;5,73;0;;;;;40;0;0;0;ENTREGADO EFECTIVO;30/11/2007;001368;0;24,5;0;0,35;R;P;;;0;F;70;AB;AB;0;0;0;0
19/11/2007;72;000229;01;00;0;3,9;0;0;;;;;0;0;0;0;;19/11/2007;000226;0;0;0;0;R;A;;;0;F;72;AB;AB;0;0;0;0
19/11/2007;72;000230;01;00;0;290,91;0;0;;;;;0;0;0;0;;19/11/2007;000227;0;0;0;0;R;A;;;0;F;72;AB;AB;0;0;0;0
20/11/2007;72;000231;01;00;0;10,42;0;0;;;;;0;0;0;0;;20/11/2007;000228;0;0;0;0;R;A;;;0;F;72;AB;AB;0;0;0;0
20/11/2007;71;001315;01;268;0;3,97;0,64;0;;;;;11;0;0;0;;30/11/2007;001382;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
20/11/2007;71;001316;01;837;0;5,31;0,85;0;;;;;11;0;0;0;ALBARAN Nº 2454;30/11/2007;001328;0;0;0;10;R;P;;;0;F;70;AB;AB;0;0;0;0
19/11/2007;71;001317;01;869;0;3,8;0,61;0;;;;;0;0;0;0;ALBARAN Nº 2455;30/11/2007;001371;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
19/11/2007;71;001318;01;978;0;41,67;6,67;0;;;;;40;0;0;0;ALBARAN Nº 2460;30/11/2007;001370;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
19/11/2007;71;001319;01;338;0;18,5;2,96;0;;;;;11;0;0;0;ALBARAN Nº 2461;30/11/2007;001369;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
19/11/2007;71;001320;01;891;0;510,65;81,7;0;;;VOLVO A 35C;;13;0;0;0;ALBARAN Nº 2464;30/11/2007;001344;0;24,5;0;0,35;R;A;;;0;F;70;AB;AB;0;0;0;0
20/11/2007;71;001321;01;133;0;205,58;32,89;0;;;;;2;0;0;0;ALBARAN Nº 2470;30/11/2007;001352;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
19/11/2007;71;001322;01;300;0;47,42;7,59;0;;;;;1;0;0;0;alb. nº 2462;30/11/2007;001384;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
19/11/2007;71;001323;01;989;0;94,8;15,17;0;;;;;4;0;0;0;alb. nº 2459;30/11/2007;001372;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
21/11/2007;72;000232;01;00;0;8,42;0;0;;;;;0;0;0;0;;21/11/2007;000229;0;0;0;0;R;A;;;0;F;72;AB;AB;0;0;0;0
21/11/2007;71;001324;01;48;0;2,4;0,38;0;;;;;13;0;0;0;ALBARAN Nº 2467;30/11/2007;001353;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
21/11/2007;71;001325;01;310;0;9,5;1,52;0;;;;;40;0;0;0;ALBARAN Nº 2471;30/11/2007;001357;0;0;0;10;R;P;;;0;F;70;AB;AB;0;0;0;0
21/11/2007;71;001326;01;989;0;12,37;1,98;0;;;;;4;0;0;0;ALBARAN Nº 2472;30/11/2007;001372;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
21/11/2007;71;001327;01;989;0;9,73;1,56;0;;;;;4;0;0;0;ALBARAN Nº 2475;30/11/2007;001372;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
21/11/2007;71;001328;01;133;0;21,6;3,46;0;;;;;2;0;0;0;ALBARAN Nº 2474;30/11/2007;001352;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
15/11/2007;71;001329;01;891;0;1357,08;217,13;0;;;;;13;0;0;0;alb. nº 2447;30/11/2007;001331;0;24,5;0;0,35;R;A;;;0;F;70;AB;AB;0;0;0;0
21/11/2007;72;000233;01;00;0;1,43;0;0;;;;;0;0;0;0;;21/11/2007;000230;0;0;0;0;R;A;;;0;F;72;AB;AB;0;0;0;0
22/11/2007;71;001330;01;344;0;199,4;31,9;0;;;WA 480;;45;0;0;0;PEDIDO Nº 4500072802 POS. Nº 10;05/01/2008;000043;0;26;0;0,35;R;A;;;0;F;80;AB;AB;0;0;0;0
22/11/2007;72;000234;01;00;0;142,45;0;0;;;;;0;0;0;0;;22/11/2007;000231;0;0;0;0;R;A;;;0;F;72;AB;AB;0;0;0;0
21/11/2007;71;001332;01;891;0;86,3;13,81;0;;;VOLVO A 40;;13;0;0;0;ALBARAN Nº 2478;30/11/2007;001349;0;24,5;0;0,35;R;A;;;0;F;70;AB;AB;0;0;0;0
21/11/2007;71;001333;01;891;0;48,64;7,78;0;;;PC 450;;13;0;0;0;ALBARAN Nº 2479;30/11/2007;001340;0;24,5;0;0,35;R;A;;;0;F;70;AB;AB;0;0;0;0
21/11/2007;71;001334;01;980;0;1,93;0,31;0;;;;;0;0;0;0;ALBARAN Nº 2480;30/11/2007;001355;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
19/11/2007;71;001335;01;938;0;2880,94;460,95;0;;;;;11;0;0;0;alb. nº 2456;30/11/2007;001356;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
19/11/2007;71;001336;01;938;0;1904,64;304,74;0;;;;;11;0;0;0;ALBARAN Nº 2457;30/11/2007;001356;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
19/11/2007;71;001337;01;938;0;155,28;24,84;0;;;;;11;0;0;0;ALBARAN Nº 2458;30/11/2007;001356;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
10/11/2007;71;001338;01;370;0;25,93;4,15;0;;;;;2;0;0;0;ALB. Nº 2424;30/11/2007;001373;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
22/11/2007;71;001339;01;1062;0;6,94;1,11;0;;;;;0;0;0;0;;31/12/2007;001437;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
22/11/2007;71;001340;01;960;0;50,48;8,08;0;;;;;41;0;0;0;;30/11/2007;001376;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
22/11/2007;71;001341;01;1062;0;14,26;2,28;0;;;;;0;0;0;0;;31/12/2007;001437;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
22/11/2007;71;001342;01;133;0;90,75;14,52;0;;;;;2;0;0;0;ALBARAN Nº 2482;30/11/2007;001352;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
22/11/2007;71;001343;01;1101;0;35,89;5,74;0;;;;;0;0;0;0;ALBARAN Nº 2483;30/11/2007;001329;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
22/11/2007;71;001344;01;90;0;12,15;1,94;0;;;;;40;0;0;0;;30/11/2007;001374;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
19/11/2007;71;001345;01;891;0;14,3;2,29;0;;;972 G;;13;0;0;0;ALBARAN Nº 2463;30/11/2007;001335;0;24,5;0;0,35;R;A;;;0;F;70;AB;AB;0;0;0;0
22/11/2007;72;000235;01;170;0;5,66;0;0;;;;;0;0;0;0;;22/11/2007;000232;0;0;0;0;R;P;;;0;F;72;AB;AB;0;0;0;0
23/11/2007;72;000236;01;00;0;66;0;0;;;;;0;0;0;0;;23/11/2007;000233;0;0;0;0;R;A;;;0;F;72;AB;AB;0;0;0;0
23/11/2007;71;001346;01;824;0;106,8;17,09;0;;;;;0;0;0;0;;30/11/2007;001354;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
23/11/2007;72;000237;01;00;0;7,04;0;0;;;;;0;0;0;0;;23/11/2007;000234;0;0;0;0;R;A;;;0;F;72;AB;AB;0;0;0;0
22/11/2007;71;001347;01;290;0;5,82;0,93;0;;;;;1;0;0;0;ALBARAN Nº 2484;30/11/2007;001381;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
12/11/2007;71;001349;01;845;0;6,56;1,05;0;;;;;11;0;0;0;ALB. Nº 2428;30/11/2007;001385;0;24,5;0;0,35;R;P;;;0;F;70;AB;AB;0;0;0;0
23/11/2007;71;001348;01;1101;0;0,84;0,13;0;;;;;0;0;0;0;ALBARAN Nº 2487;30/11/2007;001329;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
23/11/2007;71;001351;01;1062;0;1,36;0,22;0;;;;;0;0;0;0;;31/12/2007;001437;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
23/11/2007;71;001350;01;133;0;14;2,24;0;;;;;2;0;0;0;ALBARAN Nº 2485;30/11/2007;001352;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
23/11/2007;71;001352;01;133;0;11,31;1,81;0;;;;;2;0;0;0;ALBARAN Nº 2491;30/11/2007;001352;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
26/11/2007;71;001353;01;126;0;142,45;22,79;0;;;;;40;0;0;0;alb. nº 2501;30/11/2007;001361;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
23/11/2007;71;001354;01;891;0;79,58;12,73;0;;;VOLVO A 40;;13;0;0;0;alb. nº 2492;30/11/2007;001350;0;24,5;0;0,35;R;A;;;0;F;70;AB;AB;0;0;0;0
27/11/2007;71;001355;01;39;0;219,71;35,15;0;;;;;1;0;0;0;;30/11/2007;001375;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
26/11/2007;71;001356;01;975;0;44,78;7,16;0;;;;;3;0;0;0;alb. entrega 2498;30/11/2007;001325;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
28/11/2007;72;000238;01;00;0;122,75;0;0;;;;;0;0;0;0;;28/11/2007;000235;0;0;0;0;R;A;;;0;F;72;AB;AB;0;0;0;0
09/11/2007;71;001357;01;13;0;421;67,36;0;;;;;1;0;0;0;ALB. Nº 2420-2443-2490;30/11/2007;001358;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
28/11/2007;71;001358;01;931;0;92,92;14,87;0;;;;;13;0;0;35,4;ALB. Nº 2515 PEDIDO Nº FPBIO-1207-03;31/12/2007;001506;0;24;0;0,35;R;A;;;0;F;70;AB;AB;0;0;0;0
28/11/2007;72;000239;01;00;0;30;0;0;;;;;0;0;0;0;;28/11/2007;000236;0;0;0;0;R;A;;;0;F;72;AB;AB;0;0;0;0
28/11/2007;72;000240;01;00;0;40;0;0;;;;;0;0;0;0;;28/11/2007;000237;0;0;0;0;R;A;;;0;F;72;AB;AB;0;0;0;0
27/11/2007;71;001359;01;891;0;450;72;0;;;TR 60;;13;0;0;0;alb. nº 2506;30/11/2007;001341;0;24,5;0;0,35;R;A;;;0;F;70;AB;AB;0;0;0;0
27/11/2007;71;001360;01;377;0;20,59;3,29;0;;;;;0;0;0;0;alb. nº 2507;30/11/2007;001383;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
28/11/2007;71;001361;01;310;0;142,45;22,79;0;;;;;40;0;0;0;alb. nº 2514;30/11/2007;001357;0;0;0;10;R;P;;;0;F;70;AB;AB;0;0;0;0
27/11/2007;71;001362;01;891;0;36,67;5,87;0;;;;;13;0;0;0;alb. nº 2510;30/11/2007;001332;0;24,5;0;0,35;R;A;;;0;F;70;AB;AB;0;0;0;0
28/11/2007;71;001363;01;837;0;16,41;2,63;0;;;;;11;0;0;0;ALBARAN Nº 2466;30/11/2007;001328;0;0;0;10;R;P;;;0;F;70;AB;AB;0;0;0;0
26/11/2007;71;001364;01;837;0;116,72;18,68;0;;;;;11;0;0;0;ALBARAN Nº 2496;30/11/2007;001328;0;0;0;10;R;P;;;0;F;70;AB;AB;0;0;0;0
23/11/2007;71;001365;01;990;0;78,53;12,56;0;;;;;40;0;0;0;ALBARAN Nº 2500;30/11/2007;001379;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
26/11/2007;71;001366;01;980;0;4,42;0,71;0;;;;;0;0;0;0;ALBARAN Nº 2504;30/11/2007;001355;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
27/11/2007;71;001367;01;48;0;2,5;0,4;0;;;;;13;0;0;0;ALBARAN Nº 2509;30/11/2007;001353;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
28/11/2007;71;001368;01;10;0;14,62;2,34;0;;;;;40;0;0;0;ALBARAN º 2513;30/11/2007;001378;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
28/11/2007;71;001369;01;837;0;233,44;37,35;0;;;;;11;0;0;0;ALBARAN Nº 2516;30/11/2007;001328;0;0;0;10;R;P;;;0;F;70;AB;AB;0;0;0;0
