NUMTAR;DOCFEC;DOCSER;DOCNUM;DESTAR;IMPOBRA;IMPMAT;MARCA
01;26/07/2011;22;000343;VTA. DE REPUESTOS;0;7,9;N
01;26/07/2011;23;000261;VTA. DE REPUESTOS;0;-389,16;N
01;26/07/2011;21;000905;VTA. DE REPUESTOS;0;55,48;N
01;26/07/2011;21;000906;VTA. DE REPUESTOS;0;5,36;N
01;26/07/2011;25;000023;VTA. DE REPUESTOS;0;600;N
01;26/07/2011;21;000907;VTA. DE REPUESTOS;0;5,11;N
01;26/07/2011;22;000344;VTA. DE REPUESTOS;0;4,5;N
01;27/07/2011;21;000908;VTA. DE REPUESTOS;0;25,96;N
01;27/07/2011;22;000345;VTA. DE REPUESTOS;0;40,37;N
01;27/07/2011;21;000909;VTA. DE REPUESTOS;0;29,82;N
01;27/07/2011;22;000346;VTA. DE REPUESTOS;0;12,11;N
01;27/07/2011;21;000910;VTA. DE REPUESTOS;0;41,31;N
01;27/07/2011;21;000911;VTA. DE REPUESTOS;0;3,55;N
01;27/07/2011;23;000262;VTA. DE REPUESTOS;0;89,79;N
01;27/07/2011;24;000255;VTA. DE REPUESTOS;0;64,29;N
01;27/07/2011;24;000256;VTA. DE REPUESTOS;0;390,78;N
01;27/07/2011;22;000347;VTA. DE REPUESTOS;0;41,23;N
01;27/07/2011;24;000257;VTA. DE REPUESTOS;0;10789,65;N
01;27/07/2011;22;000348;VTA. DE REPUESTOS;0;70;N
01;27/07/2011;23;000263;VTA. DE REPUESTOS;0;12568,98;N
01;27/07/2011;24;000258;VTA. DE REPUESTOS;0;18,24;N
01;27/07/2011;24;000259;VTA. DE REPUESTOS;0;62,29;N
01;27/07/2011;24;000260;VTA. DE REPUESTOS;0;2233,82;N
01;28/07/2011;21;000912;VTA. DE REPUESTOS;0;14,16;N
01;28/07/2011;22;000349;VTA. DE REPUESTOS;0;24,14;N
01;28/07/2011;24;000261;VTA. DE REPUESTOS;0;260,06;N
01;28/07/2011;23;000264;VTA. DE REPUESTOS;0;17,76;N
01;28/07/2011;22;000350;VTA. DE REPUESTOS;0;12,34;N
01;28/07/2011;21;000913;VTA. DE REPUESTOS;0;19,72;N
01;28/07/2011;25;000024;VTA. DE REPUESTOS;0;35,65;N
01;28/07/2011;22;000351;VTA. DE REPUESTOS;0;13,2;N
01;28/07/2011;22;000352;VTA. DE REPUESTOS;0;27,56;N
01;28/07/2011;22;000353;VTA. DE REPUESTOS;0;44,1;N
01;29/07/2011;21;000915;VTA. DE REPUESTOS;0;15,1;N
01;29/07/2011;22;000354;VTA. DE REPUESTOS;0;2,55;N
01;29/07/2011;22;000355;VTA. DE REPUESTOS;0;55;N
