NUMTAR;CODALM;CODPDT;DESPDT;DOCFEC;DOCSER;DOCNUM;CANFACT;CANREAL;DTOMAT;CODMOD;PORIMP;PORREC;PVP;LINMATE;MARCA
01;01;4903-LY03C;HERRAMIENTA;26/09/2008;81;000980;1;1;40;01;16;4;48,48;00010;N
01;01;09FDP12;TUBO-TUBO MICRO DIRECTO PASAPARED;26/09/2008;81;000981;20;20;0;01;16;4;8,92;00005;N
01;01;09FDM12-1/4;INSTANTANEO MICRO RECTO;26/09/2008;81;000981;20;20;0;01;16;4;3,8;00010;N
01;01;09FDM12-1/2;INSTANTANEO MICRO RECTO;26/09/2008;81;000981;20;20;0;01;16;4;4,4;00015;N
01;01;09FCG12-1/4;RACOR EN CODO MICRO 12 X 1/4;26/09/2008;81;000981;20;20;0;01;16;4;6,89;00020;N
01;01;09FCG12-1/2;RACOR EN CODA MICRO 12 X 1/2;26/09/2008;81;000981;20;20;0;01;16;4;7,96;00025;N
01;01;4903-017;BATERIA 90 AH +D;26/09/2008;81;000982;1;1;15;01;16;4;85,65;00005;N
01;01;4903-907152;BORNA BATERIA NEGATIVO;26/09/2008;81;000982;1;1;15;01;16;4;0,72121;00010;N
01;01;4903-907151;BORNA BATERIA POSITIVO;26/09/2008;81;000982;1;1;15;01;16;4;0,72121;00015;N
01;01;2230-06;MANGUERA R1AT 3/8;26/09/2008;81;000983;1,75;1,75;20;01;16;4;6,7;00005;N
01;01;3300-06;CASQUILLO R1AT R2AT;26/09/2008;81;000983;2;2;20;01;16;4;0,8;00010;N
01;01;21513-06-22;ESPIGA RECTA T.L S.LIGERA 3/8;26/09/2008;81;000983;2;2;20;01;16;4;3,82;00015;N
01;01;3511-10;MANGUERA R2AT 5/8;29/09/2008;81;000984;1,4;1,4;15;01;16;4;12;00005;N
01;01;3300-10;CASQUILLO R1AT  5/8;29/09/2008;81;000984;2;2;15;01;16;4;1,75;00010;N
01;01;22511-10-10;ESPIGA RECTA T.L. JIC 5/8;29/09/2008;81;000984;2;2;15;01;16;4;2,5;00015;N
01;01;20511-12-12;ESPIGA RECTA T.L. BSP 3/4;29/09/2008;82;000310;1;1;0;;;;2,82;00005;N
01;01;3300-12;CASQUILLO R1AT 3/4;29/09/2008;82;000310;1;1;0;;;;2,13;00010;N
01;01;4929-3944110;FILTRO ELECTRONICO;29/09/2008;83;000091;1;1;15;01;16;4;116,97;00005;N
