CODOPER;DOCFEC;DOCSER;DOCNUM;DESCOP;HORACAN;DTOOBR;CODMOD;PORIMP;PORREC;PRETAR;NUMTAR;LINOBRA
101;08/09/2000;00;000004;DESMONTAR RADIADOR , DESPIECE PARA BAQUETEADO DE PANAL , LIMPIEZA , MONTAJE DEL MISMO Y COLOCACION DE VALVULA;6;0;01;16;4;20,28416;05;005
101;08/09/2000;00;000004;CORTAR DIENTES, REPASAR CUCHILLA Y SUAVIZAR BULONES DE LA MISMA;8;0;01;16;4;20,28416;02;005
101;08/09/2000;00;000004;DESPIECE, LIMPIEZA, REPARACION DE CULATA, ENFRIADORES, MONTAJE Y COLOCACION EN MAQUINA;46;0;01;16;4;20,28416;03;005
101;27/12/2000;00;000006;RECONSTRUCCION DE CAJA DE CALENTADOR Y ACOPLACION DE RESISTENCIA.;12;0;01;16;4;22,08719;01;005
101;03/01/2001;00;000008;DESMONTAR, LIMPIEZA, MONTAJE GENERAL.;125;0;01;16;4;18,03036;01;005
101;16/10/2002;02;000004;SOLTAR PISTON DEL AGUILON, CORTAR MAZA DEL PISTON CON LA FRESA POR GRIPADO DE ROSCA DEL MISMO, ROSCADO DE PISTON. CONSTRUCCION DE MAZA NUEVA. DESPIECE DE PISTON, COLOCACION DE EMPAQUETADURAS Y MONTAJE DEL MISMO EN MAQUINA;40;0;01;16;4;19,83;01;005
101;16/10/2002;02;000004;DESMONTAR TUBERIAS Y BULONES PARA SOLTAR AGUILON DE MAQUINA. MECANIZAR ALOJAMIENTOS DE COGIDA A CHASIS, CONSTRUIR  CASQUILLOS  SOLDAR LOS MISMOS. SUSTITUIR CASQUILLOS DE AGUILON  COLOCARLO  EN MAQUINA Y TUBERIAS. AJUSTAR HOLGURAS.;80;0;01;16;4;19,83;02;005
101;16/10/2002;02;000004;DESMONTAR TUBERIAS DE INSTALACION DEL MARTILLO ROMPEDOR Y SOPORTE DE LOS MISMOS PARA CAMBIARLO A PLUMIN NUEVO. MONTAJE DE ACCESORIOS EN PLUMIN NUEVO Y COLOCAR EN MAQUINA (EL PUIMIN VIEJO TODAVIA ESTA EN NUESTRAS INSTALACIONES);14;0;01;16;4;19,83;03;005
101;16/10/2002;02;000004;REPARACION DE MOTOR;170;0;01;16;4;19,83;04;005
101;16/10/2002;02;000004;QUITAR SALIDEROS DE ACEITE HIDRAULICO, DESMONTAR TUBOS HIDRAULICOS EN MAL ESTADO, CONSTRUCCION DE NUEVOS Y MONTAJE DE LOS MISMOS EN MAQUINA;9;0;01;16;4;19,83;05;005
101;16/10/2002;02;000004;ABONO;-80;0;01;16;4;19,83;04;010
101;21/01/2003;03;000001;ACOPLACION DE AVISADOR DE MARCHA ATRAS Y DESTELLANTE LUMINOSO;4,5;0;01;16;4;21,5;01;005
101;08/08/2003;03;000004;DESPIECE DE MARTILLO Y ACUMULADOR DE NITROGENO, COLOCACION DE COMPONENTES NUEVOS, MONTAJE DE ACUMULADOR, CARGA DEL MISMO Y COLOCACION EN MARTILLO.;24;0;01;16;4;21,5;01;005
101;20/02/2006;60;000003;DESMONTAR CARENAJES Y MOTOR PARA SACAR TRANSMISION,  DESPIECE DE LA MISMA Y CONVERTIDOR, SUSTITUIR KIT RODAMIENTOS, DISCOS Y JUNTAS. MONTAJE. COLOCACION DE MOTOR, TRANSMISION Y CARENAJES EN MAQUINA.                                    ;160;0;01;16;4;26,5;01;005
