CODALM;CODPDT;LOCALIZ;SISVAL;PVP1;PVP2;PVP3;PVP4;PVP5;PRESTA;PREULT;PREMED;CANEXI;CODPRV;STOCKMIN;STOCKMAX
01;5M9737;01050301;M;13,43;0;6,24;0;0;0;0;0;0;3;0;0
01;5M9735;07050403;M;5,4;0;5,4;0;4,86;0;0;0;6;2;0;0
01;5M3179;01050301;M;5,14;0;5,14;0;0;0;0;0;0;2;0;0
01;5M3172;01050301;M;0;0;0;0;0;0;0;0;0;3;0;0
01;4M2343;01050301;M;0;0;0;0;0;0;0;0;0;3;0;0
01;1M3003;01050301;M;0;0;0;0;0;0;0;0;0;3;0;0
01;2M0078;01050301;M;0;0;0;0;0;0;0;0;0;3;0;0
01;9N2539;01050302;M;0;0;0;0;0;0;0;0;0;3;0;0
01;7N4636;07050311;M;0;0;0;0;0;0;0;0;1;3;0;0
01;4N0636;01050302;M;0;0;0;0;0;0;0;0;0;3;0;0
01;7P9868;01040402;M;0;0;0;0;0;0;0;0;0;3;0;0
01;5P0903;070602;M;5,43;0;0;0;0;0;0;2,1;1;2;0;0
01;2P6286;01040402;M;0;0;0;0;0;0;0;0;0;3;0;0
01;1P8096;01040402;M;0;0;0;0;0;0;0;0;0;3;0;0
01;9S4671;01050402;M;8,45;7,04;8,45;0;8,45;0;6,55;3,275;0;3;0;0
01;9S2394;01050402;M;0;0;0;0;0;0;0;0;0;3;0;0
01;9S9321;01050402;M;0;0;0;0;0;0;0;0;0;3;0;0
01;2S1509;01050402;M;0;0;0;0;0;0;0;0;0;3;0;0
01;2S1164;01050402;M;0;0;0;0;0;0;0;0;0;3;0;0
01;4J8981;01050202;M;0;0;0;0;0;0;0;0;0;3;0;0
01;9T2583;01040501;M;0;0;0;0;0;0;0;0;0;3;0;0
01;9T2901;01040501;M;0;0;0;0;0;0;0;0;0;3;0;0
01;8T2230;01040501;M;0;0;0;0;0;0;0;0;0;3;0;0
01;8T2193;01040501;M;0;0;0;0;0;0;0;0;0;3;0;0
01;1U3506;01040502;M;0;0;0;0;0;0;0;0;0;3;0;0
01;6V9748;01040503;M;12,14;10,11;12,14;0;12,14;0;0;0;0;3;0;0
01;6V8407;01040503;M;91,33;76,11;91,33;0;0;0;70,78;70,78;0;3;0;0
01;6V3825;01040503;M;0;0;0;0;0;0;0;0;0;3;0;0
01;6V3675;01040503;M;0;0;0;0;0;0;0;0;0;3;0;0
01;9W7233;01050501;M;0;0;0;0;0;0;0;0;0;3;0;0
01;9W7225;01050501;M;0;0;0;0;0;0;0;0;0;3;0;0
01;9W6668;08020201;M;0;0;0;0;0;0;0;0;0;3;0;0
01;7W6130;01050501;M;0;0;0;0;0;0;0;0;0;3;0;0
01;2W1784;01050501;M;0;0;0;0;0;0;0;0;0;3;0;0
01;9W6630;01050501;M;0;0;0;0;0;0;0;0;0;3;0;0
01;9W5210;01050501;M;0;0;0;0;0;0;0;0;0;3;0;0
01;5S9022;01050402;M;45,25;0;45,25;0;0;0;0;0;0;2;0;0
01;9X7695;01050502;M;0;0;0;0;0;0;0;0;0;3;0;0
01;30593;01040403;M;0;0;0;0;0;0;0;0;0;3;0;0
01;6773201;01040403;M;0;0;0;0;0;0;0;0;0;3;0;0
